customer_id,signup_date,last_login_date,customer_age,gender,location,subscription_type,subscription_end_date,number_of_logins,number_of_purchases,average_purchase_amount,total_amount_spent,customer_satisfaction_score,customer_service_calls,app_usage_duration,days_since_last_purchase,days_until_subscription_renewal,has_watched_prime_video,has_watched_prime_music,churn
cust_0,2022-04-13,2022-06-05,73,Female,Urban,Annual,2023-02-19,32,36,64.27082352997652,985.1732511577394,8,0,14,306,61,True,False,True
cust_1,2023-03-12,2023-04-18,21,Female,Rural,Annual,2023-10-19,5,11,88.02455598023444,1785.3915456678503,0,9,19,146,34,True,True,False
cust_2,2022-09-28,2023-12-02,46,Male,Urban,Monthly,2022-11-01,24,48,80.26464083071254,3657.491781014555,2,5,8,336,171,False,False,True
cust_3,2022-04-17,2022-09-29,74,Male,Rural,Monthly,2022-06-26,22,17,98.21142408076304,9591.34308945273,8,1,3,359,174,True,False,True
cust_4,2022-03-13,2022-01-02,18,Female,Suburban,Monthly,2022-07-14,87,29,88.91585209331556,2744.5014504809706,0,0,7,4,21,True,False,True
cust_5,2023-12-02,2023-05-26,60,Male,Suburban,Monthly,2022-01-13,25,12,19.565642784342852,9268.647459271657,1,0,12,100,134,False,False,True
cust_6,2022-01-21,2022-10-13,67,Male,Urban,Annual,2022-06-15,3,2,5.761656552039563,1813.646856171145,3,0,16,99,133,True,True,True
cust_7,2023-09-07,2022-01-13,63,Female,Rural,Annual,2022-05-30,34,20,41.45109440443233,9698.124256912017,6,3,3,172,11,True,False,True
cust_8,2022-05-02,2023-08-31,39,Female,Rural,Monthly,2022-12-07,74,41,61.750445090127904,2936.0453539799714,7,4,1,107,99,True,False,True
cust_9,2023-04-12,2023-05-13,28,Male,Urban,Monthly,2023-07-11,99,13,64.31034996950392,6330.922634412056,0,4,4,269,42,False,False,False
cust_10,2022-08-03,2022-08-26,27,Female,Rural,Annual,2022-06-23,24,39,26.751276151835867,696.91224470533,0,0,1,27,329,True,False,True
cust_11,2022-11-27,2022-04-04,76,Female,Rural,Annual,2022-06-16,19,9,85.98809644486704,2996.641711873148,4,5,15,244,263,False,False,True
cust_12,2023-04-04,2022-12-04,79,Male,Suburban,Monthly,2023-12-10,0,1,32.924646364542696,2107.104063783839,7,2,22,264,200,True,True,False
cust_13,2022-03-29,2022-06-20,34,Male,Rural,Monthly,2023-08-17,93,44,91.91146063831435,34.166686838922324,0,3,22,314,140,False,False,False
cust_14,2023-01-08,2023-08-29,53,Female,Rural,Monthly,2023-08-03,67,36,47.16014013032215,1567.697877173242,2,4,14,37,183,True,False,False
cust_15,2022-04-10,2023-10-23,73,Male,Rural,Annual,2022-04-07,22,10,1.0390666041836027,5931.036498371909,5,3,3,92,249,False,False,True
cust_16,2023-10-26,2023-09-16,64,Male,Urban,Annual,2023-11-10,98,0,16.204131119474617,3899.201732046589,0,3,14,152,146,False,False,False
cust_17,2022-05-11,2023-07-21,43,Female,Urban,Annual,2023-02-08,21,25,10.231925665499764,7225.709813714349,2,9,4,327,278,False,True,True
cust_18,2023-10-24,2023-04-12,65,Female,Urban,Annual,2022-03-18,94,41,4.402579580030763,6710.746003070071,0,0,2,47,298,False,False,True
cust_19,2022-11-05,2023-09-20,38,Female,Rural,Monthly,2022-08-25,61,12,71.4017310810676,7992.995090079186,3,1,13,129,279,True,False,True
cust_20,2022-12-10,2022-05-23,30,Female,Rural,Annual,2023-12-09,0,27,19.231587306040222,8670.250230326292,8,1,6,5,224,False,True,False
cust_21,2023-05-07,2022-07-20,26,Male,Urban,Annual,2022-10-18,58,35,83.86197944064861,8198.255031236618,4,1,14,60,214,False,False,True
cust_22,2023-02-18,2022-06-29,28,Male,Urban,Annual,2022-05-16,67,20,26.446882881443003,4480.608397183847,2,9,4,257,342,False,True,True
cust_23,2023-01-21,2022-12-30,28,Female,Rural,Monthly,2023-01-02,18,9,3.2327106490841473,3087.277303655077,9,0,8,338,154,True,False,True
cust_24,2022-07-11,2023-04-24,23,Female,Rural,Annual,2023-07-02,29,11,82.0675343975229,5023.024629684717,6,9,12,268,139,True,False,False
cust_25,2022-10-04,2023-07-19,18,Female,Suburban,Annual,2022-09-05,0,45,46.614585053098715,5351.28506638042,5,7,6,304,45,True,True,True
cust_26,2022-06-10,2023-04-16,71,Female,Urban,Annual,2022-08-02,47,26,59.95054402689939,3131.7451694188903,8,0,3,244,110,False,True,True
cust_27,2023-04-05,2023-01-19,23,Male,Rural,Monthly,2022-03-11,18,2,33.622728864156315,5400.065451397683,3,7,6,7,198,False,True,True
