user_id,age,gender,country,language,subscription_type,subscription_start_date,monthly_price,watch_time,watch_history,search_history,likes,dislikes,comments,views,ad_impressions,ad_clicks,payment_method,last_payment_date,churn
1,21,female,Australia,English,Individual,2015-01-01 00:00:00.000000000,14.99,78,news,music,424,94,28,5594,457,17,paypal,2020-01-01 00:00:00.000000000,1
2,48,female,USA,Spanish,Student,2015-01-01 14:21:17.535507101,11.99,321,news,movies,343,69,29,8473,365,10,debit card,2020-01-01 05:35:17.943588717,1
3,56,female,UK,German,Student,2015-01-02 04:42:35.071014202,24.99,393,movies,news,215,34,24,6894,388,25,google pay,2020-01-01 11:10:35.887177435,0
4,50,other,UK,Spanish,Family,2015-01-02 19:03:52.606521304,14.99,95,tv shows,tv shows,144,6,21,9355,471,30,credit card,2020-01-01 16:45:53.830766153,1
5,47,male,Australia,English,Family,2015-01-03 09:25:10.142028405,19.99,462,movies,sports,201,80,48,616,162,20,paypal,2020-01-01 22:21:11.774354870,1
6,28,female,Canada,Mandarin,Individual,2015-01-03 23:46:27.677535507,14.99,173,tv shows,movies,429,1,13,7137,270,4,paypal,2020-01-02 03:56:29.717943588,1
7,55,male,Canada,Mandarin,Family,2015-01-04 14:07:45.213042608,19.99,231,movies,tv shows,301,50,45,9025,157,43,google pay,2020-01-02 09:31:47.661532306,0
8,27,male,Canada,Spanish,Student,2015-01-05 04:29:02.748549709,11.99,112,news,tv shows,279,24,14,462,125,30,credit card,2020-01-02 15:07:05.605121024,1
9,51,other,Canada,English,Individual,2015-01-05 18:50:20.284056811,24.99,169,music,comedy,291,55,39,8001,67,28,google pay,2020-01-02 20:42:23.548709741,1
10,36,other,Australia,Spanish,Student,2015-01-06 09:11:37.819563912,11.99,442,tv shows,sports,208,34,46,2659,424,41,paypal,2020-01-03 02:17:41.492298459,0
11,45,other,Canada,Mandarin,Individual,2015-01-06 23:32:55.355071014,11.99,27,tv shows,movies,428,75,7,1661,65,14,credit card,2020-01-03 07:52:59.435887177,0
12,53,other,USA,Spanish,Student,2015-01-07 13:54:12.890578115,24.99,240,sports,movies,259,95,3,913,448,38,google pay,2020-01-03 13:28:17.379475895,1
13,39,female,Australia,French,Individual,2015-01-08 04:15:30.426085217,19.99,191,sports,news,321,23,23,3276,275,37,google pay,2020-01-03 19:03:35.323064612,1
14,43,female,USA,German,Student,2015-01-08 18:36:47.961592318,11.99,483,news,news,47,98,9,7858,35,9,google pay,2020-01-04 00:38:53.266653330,0
15,45,other,USA,German,Student,2015-01-09 08:58:05.497099419,19.99,502,music,sports,55,19,50,2627,261,31,debit card,2020-01-04 06:14:11.210242048,0
16,44,female,Canada,French,Individual,2015-01-09 23:19:23.032606521,24.99,594,tv shows,tv shows,160,10,15,684,367,10,debit card,2020-01-04 11:49:29.153830766,1
17,56,other,UK,French,Student,2015-01-10 13:40:40.568113622,11.99,154,tv shows,tv shows,480,29,22,5656,43,46,credit card,2020-01-04 17:24:47.097419483,0
18,56,female,Australia,English,Individual,2015-01-11 04:01:58.103620724,19.99,88,comedy,movies,169,88,20,4131,234,0,debit card,2020-01-04 23:00:05.041008201,0
