customer_id,age,gender,income,marital_status,education_level,account_balance,credit_score,credit_limit,payment_history,payment_method,data_usage,voice_usage,sms_usage,roaming_usage,contract_type,plan_type,service_quality,customer_service_calls,churn
customer_0000,31,female,96285,married,graduate,759,447,46623,late,credit card,45,310,43,95,postpaid,basic,good,2,1
customer_0001,55,female,140031,married,graduate,4594,391,23550,late,cash,42,256,72,47,prepaid,basic,fair,8,1
customer_0002,54,female,30916,married,graduate,2476,414,22319,on time,debit card,12,335,54,26,prepaid,basic,poor,7,0
customer_0003,18,female,73155,single,high school,3942,365,21543,late,debit card,10,416,63,37,postpaid,basic,good,6,1
customer_0004,57,male,53465,married,college,3089,655,25387,on time,cash,30,107,22,68,prepaid,basic,fair,5,0
customer_0005,76,female,139447,single,graduate,3936,660,32992,on time,cash,43,464,2,95,postpaid,premium,fair,8,0
customer_0006,38,male,50806,married,graduate,3641,728,39506,on time,cash,17,30,38,36,postpaid,premium,good,4,0
customer_0007,40,male,110185,married,college,2888,514,22896,on time,cash,7,32,35,59,prepaid,premium,poor,2,0
customer_0008,52,male,24379,married,graduate,4483,611,27156,late,credit card,49,381,17,24,prepaid,premium,good,6,1
customer_0009,19,male,41639,single,graduate,-273,395,49481,on time,cash,10,167,71,52,prepaid,premium,fair,4,0
customer_0010,72,female,137786,married,graduate,3818,432,37517,on time,credit card,18,498,58,29,postpaid,premium,fair,3,1
customer_0011,32,male,37961,married,high school,1660,440,16929,on time,credit card,24,463,9,97,postpaid,premium,poor,0,0
customer_0012,38,female,29880,single,college,3356,440,26841,on time,cash,29,59,95,13,prepaid,basic,good,1,0
customer_0013,31,female,98274,single,high school,334,445,6109,late,debit card,1,250,19,67,prepaid,basic,fair,2,1
customer_0014,73,male,110008,married,graduate,3363,722,43515,on time,cash,35,252,34,55,prepaid,premium,good,8,0
customer_0015,76,male,99685,married,graduate,4448,699,31727,on time,credit card,29,175,57,74,postpaid,basic,fair,8,1
customer_0016,77,female,58831,married,high school,1971,461,13175,on time,debit card,47,303,21,45,postpaid,basic,poor,8,0
customer_0017,43,female,144877,single,high school,3577,595,13770,on time,cash,44,452,36,30,postpaid,premium,fair,9,0
customer_0018,55,male,122201,married,graduate,1035,440,24807,on time,credit card,7,343,31,14,prepaid,basic,good,2,1
customer_0019,68,female,44959,married,graduate,3848,491,44162,on time,debit card,36,152,58,56,postpaid,basic,poor,2,0
customer_0020,58,male,96617,married,college,3502,758,45911,on time,cash,6,209,71,3,postpaid,premium,fair,4,1
customer_0021,30,male,79045,single,college,2670,448,39203,on time,credit card,33,182,65,36,postpaid,premium,good,5,0
customer_0022,74,female,73502,married,graduate,4311,309,13989,late,debit card,40,133,18,75,postpaid,premium,fair,9,1
customer_0023,73,female,40511,married,graduate,459,313,49782,on time,credit card,39,419,66,72,prepaid,premium,good,6,1
customer_0024,57,male,22459,single,high school,-124,657,32773,on time,debit card,42,163,56,53,postpaid,basic,good,4,1
customer_0025,62,female,111186,single,college,3611,453,28123,on time,credit card,9,113,70,80,prepaid,basic,good,4,0
customer_0026,34,male,52398,single,graduate,-251,677,22967,on time,credit card,36,258,5,15,postpaid,premium,fair,3,1
customer_0027,60,female,33067,single,high school,867,507,37550,on time,debit card,8,305,0,97,prepaid,basic,good,0,0
customer_0028,61,male,71186,married,graduate,2168,750,14686,on time,cash,2,341,63,27,postpaid,basic,good,1,0
customer_0029,25,male,30992,married,college,4058,418,30157,late,credit card,27,443,10,5,postpaid,basic,good,9,1
