customer_id,age,gender,plan_type,signup_date,last_payment_date,num_payments,num_logins,num_streams,num_devices,payment_method,city,areacode,num_support_calls,monthly_price,avg_time_on_netflix,payment_failure,preferred_language,watch_history,churn
1,27,female,standard,2021-01-01 00:00:00.000000000,2021-01-01 00:00:00.000000000,6,8,65,2,debit_card,Los Angeles,102,1,16.220588150413786,78.33926659416852,False,French,action,1
2,42,male,standard,2021-01-01 03:29:59.639927985,2021-01-01 03:29:59.639927985,12,3,794,1,credit_card,Los Angeles,102,1,19.14623596720235,57.96288190600257,False,English,documentary,0
3,22,male,premium,2021-01-01 06:59:59.279855971,2021-01-01 06:59:59.279855971,7,5,176,5,credit_card,Miami,107,5,17.28121873605209,119.61512476221378,False,Spanish,drama,0
4,24,female,basic,2021-01-01 10:29:58.919783956,2021-01-01 10:29:58.919783956,5,26,979,3,paypal,Miami,102,1,9.618265242626807,64.86737291198233,True,English,documentary,1
5,36,male,standard,2021-01-01 13:59:58.559711942,2021-01-01 13:59:58.559711942,9,7,219,1,paypal,Houston,104,2,7.072998484070867,72.29969120696816,True,French,comedy,1
6,21,female,basic,2021-01-01 17:29:58.199639927,2021-01-01 17:29:58.199639927,9,7,614,2,credit_card,New York,105,8,5.531036848671869,114.6979442289753,False,Spanish,action,1
7,27,female,basic,2021-01-01 20:59:57.839567913,2021-01-01 20:59:57.839567913,3,12,334,1,credit_card,New York,101,5,9.835455745799191,41.81262464177111,False,English,action,0
8,35,male,premium,2021-01-02 00:29:57.479495899,2021-01-02 00:29:57.479495899,1,7,56,5,paypal,Houston,100,1,17.513212803930216,13.617722372875429,True,French,comedy,1
9,42,female,premium,2021-01-02 03:59:57.119423884,2021-01-02 03:59:57.119423884,12,13,319,4,debit_card,Los Angeles,103,1,6.7199150546774415,106.82811729897564,False,Spanish,documentary,0
10,47,female,premium,2021-01-02 07:29:56.759351870,2021-01-02 07:29:56.759351870,6,26,526,2,credit_card,Houston,104,1,7.923175841457208,114.311555635842,True,French,documentary,0
11,45,female,standard,2021-01-02 10:59:56.399279855,2021-01-02 10:59:56.399279855,2,8,875,4,debit_card,Miami,100,2,7.531527197294717,74.91351813643135,True,French,comedy,1
12,42,female,premium,2021-01-02 14:29:56.039207841,2021-01-02 14:29:56.039207841,11,12,73,1,paypal,New York,105,10,14.604437587107483,28.135629169977168,True,French,action,0
13,47,female,standard,2021-01-02 17:59:55.679135827,2021-01-02 17:59:55.679135827,5,25,747,5,credit_card,Los Angeles,108,10,5.713960224792575,55.7680502623377,True,French,action,0
14,20,male,basic,2021-01-02 21:29:55.319063812,2021-01-02 21:29:55.319063812,10,10,832,4,paypal,Houston,109,5,14.48607685205304,59.91721837017559,False,Spanish,drama,1
15,26,female,standard,2021-01-03 00:59:54.958991798,2021-01-03 00:59:54.958991798,3,15,995,4,credit_card,Los Angeles,100,1,10.43144457299408,22.770016313868815,True,English,drama,0
16,58,female,premium,2021-01-03 04:29:54.598919783,2021-01-03 04:29:54.598919783,12,10,667,5,credit_card,New York,100,9,18.134837293752362,37.6479905076625,False,Spanish,drama,1
17,29,male,standard,2021-01-03 07:59:54.238847769,2021-01-03 07:59:54.238847769,4,16,600,2,debit_card,Miami,104,3,15.741676707947871,115.54350879195631,False,English,comedy,1
18,25,female,basic,2021-01-03 11:29:53.878775755,2021-01-03 11:29:53.878775755,12,6,31,1,debit_card,Houston,108,3,15.688091729533747,116.09229302805909,True,Spanish,drama,0
19,23,male,premium,2021-01-03 14:59:53.518703740,2021-01-03 14:59:53.518703740,2,8,553,4,paypal,Los Angeles,107,1,14.541301130574686,68.81036959305705,False,English,comedy,1
20,24,male,standard,2021-01-03 18:29:53.158631726,2021-01-03 18:29:53.158631726,8,9,889,1,debit_card,Houston,106,1,18.276621533333753,60.98010067916252,True,English,comedy,1
21,24,male,standard,2021-01-03 21:59:52.798559711,2021-01-03 21:59:52.798559711,10,1,49,3,debit_card,Miami,100,10,17.718155554054114,68.87802490231428,True,Spanish,documentary,0
22,55,male,premium,2021-01-04 01:29:52.438487697,2021-01-04 01:29:52.438487697,12,24,135,3,credit_card,New York,106,3,10.64282654892548,23.837852882250612,False,French,drama,1
23,26,female,standard,2021-01-04 04:59:52.078415683,2021-01-04 04:59:52.078415683,10,7,56,4,credit_card,Houston,106,7,15.880387791091128,80.57553010072428,True,French,action,1
24,18,male,standard,2021-01-04 08:29:51.718343668,2021-01-04 08:29:51.718343668,6,9,362,2,paypal,Houston,102,5,5.353767255793525,105.12858237794516,False,French,documentary,1
25,37,female,basic,2021-01-04 11:59:51.358271654,2021-01-04 11:59:51.358271654,11,1,284,3,paypal,Miami,102,7,8.102521937741027,53.16874045450055,False,Spanish,drama,1
26,33,female,basic,2021-01-04 15:29:50.998199639,2021-01-04 15:29:50.998199639,4,30,104,2,credit_card,New York,101,9,12.671949633899226,28.082507529823772,True,Spanish,drama,0
27,43,female,premium,2021-01-04 18:59:50.638127625,2021-01-04 18:59:50.638127625,4,23,846,5,paypal,Los Angeles,109,0,16.43161343109029,90.6034766117244,False,French,action,0
28,29,male,premium,2021-01-04 22:29:50.278055611,2021-01-04 22:29:50.278055611,7,5,107,3,paypal,Miami,103,9,16.27768910981409,16.32064753806043,True,French,action,0
