,user_id,age,gender,country,subscription_type,playlist_count,playlist_followers_count,playlist_genre,artist_count,artist_followers_count,top_artist_genre,song_count,song_genre,album_count,album_genre,skip_rate,play_time,session_count,session_duration,churn
0,0,41,Male,Australia,Free,57,85094,Rock,254,422102,EDM,1951,Pop,608,Classical,0.6661807365227652,30751,82,376,0
1,1,43,Non-binary,UK,Free,11,71939,EDM,331,211147,Classical,972,EDM,808,Pop,0.8578077694604328,43228,26,249,0
2,2,58,Non-binary,Germany,Free,33,78274,EDM,94,360753,Hip Hop,8637,Rock,883,Hip Hop,0.4436814616668521,23292,61,195,0
3,3,40,Non-binary,US,Free,13,75130,Pop,112,17539,Pop,4582,Pop,958,Hip Hop,0.10767422389690406,43336,41,943,1
4,4,41,Male,Germany,Student,73,96958,Rock,100,162333,Hip Hop,8808,Classical,174,Rock,0.29662565111364725,12379,39,504,0
5,5,56,Male,US,Family,0,25319,Hip Hop,22,873037,Hip Hop,9030,EDM,792,EDM,0.14308923545727859,47746,86,563,1
6,6,63,Non-binary,Canada,Free,17,31426,Hip Hop,480,129377,Hip Hop,5362,Hip Hop,466,Classical,0.5187958315688993,2891,94,680,0
7,7,50,Male,Germany,Free,45,22406,EDM,153,17424,Classical,1739,Rock,385,Hip Hop,0.38764214236985906,8923,68,465,0
8,8,24,Non-binary,Australia,Family,90,19850,Rock,375,260884,Hip Hop,8394,Rock,395,Pop,0.6597354640970475,45910,63,718,0
9,9,44,Female,UK,Premium,34,97803,Classical,79,438783,Pop,6395,Rock,110,Hip Hop,0.5346566794159464,12380,99,207,1
10,10,29,Female,US,Family,79,36576,Pop,56,216741,Classical,6072,Classical,731,Classical,0.3513531879805962,7607,40,533,0
11,11,45,Male,Germany,Free,26,83506,Rock,441,944164,Classical,9882,Pop,459,EDM,0.29421012698915294,43669,10,905,0
12,12,27,Male,Canada,Family,69,7085,EDM,433,821168,Hip Hop,9239,Hip Hop,632,Classical,0.7078806161481334,38201,39,480,0
13,13,44,Male,Australia,Family,9,54024,Hip Hop,359,256794,Hip Hop,7687,Hip Hop,517,Classical,0.9212016445538879,16627,81,624,0
14,14,64,Female,Germany,Premium,40,64827,Pop,208,167590,Rock,4277,Classical,551,Classical,0.3691298871779487,32318,21,894,0
15,15,27,Female,Australia,Family,52,45632,Pop,86,277776,Classical,6106,Pop,436,Rock,0.021707459250656536,44903,74,230,1
16,16,29,Male,Canada,Student,56,89377,Hip Hop,468,130164,Classical,9219,Hip Hop,536,Classical,0.694333945293478,38709,88,736,0
17,17,44,Female,Germany,Family,31,41950,EDM,312,37530,Hip Hop,5872,Pop,676,Classical,0.49662128435848774,48242,30,136,0
18,18,42,Female,France,Family,2,30281,Rock,82,188667,EDM,3618,EDM,906,Hip Hop,0.46393305226858783,22589,16,235,1
19,19,32,Non-binary,Canada,Student,48,85990,Classical,87,419727,Pop,8054,Hip Hop,141,Classical,0.6564306720777102,33963,15,511,1
20,20,22,Male,Germany,Premium,5,12311,Pop,484,151001,Pop,2621,Pop,324,EDM,0.24146569242272253,43548,83,906,1
21,21,58,Female,UK,Free,18,95422,Rock,331,35906,Pop,7150,Classical,352,Pop,0.49299516646744046,46003,29,577,0
22,22,42,Non-binary,Germany,Family,99,26752,Rock,478,580527,Classical,2204,Rock,93,Hip Hop,0.5357319270832043,33503,86,578,0
23,23,44,Male,UK,Free,22,94359,Rock,248,110358,EDM,5169,Pop,349,Classical,0.1851557121391434,5134,16,712,0
24,24,60,Non-binary,Canada,Free,42,69896,EDM,19,351407,Classical,5223,EDM,603,Rock,0.7031929101629683,30046,53,905,0
25,25,59,Female,UK,Family,57,30083,Pop,96,490252,Classical,3132,Rock,490,Hip Hop,0.99488068116737,6960,19,704,0
